status pozyczki,kwota kredytu,wiek,plec,rodzaj zrodla dochodu,miesieczny dochod netto,ktore rolowanie,okres w jakim pobieral dochod,okres w jakim bedzie pobieral dochod,opoznienie splaty
odmowa,0,59,M,11,1130,0,175,48,0
splacona,500,24,M,11,1800,1,14,48,24
splacona,400,57,K,11,1187.06,2,138,48,0
splacona,500,27,K,11,2300,0,27,48,0
odmowa,0,27,M,12,1656,0,26,22,0
splacona_cz,300,69,K,13,1027,5,197,48,0
splacona_cz,200,66,M,13,1559,0,76,48,0
odmowa,0,73,K,13,448,0,122,48,0
splacona_cz,261.28,39,K,98,1200,9,50,48,4
splacona_cz,200,57,K,99,670,1,175,48,0
splacona_cz,342.26,74,K,13,1412,3,209,48,0
splacona_cz,600,78,M,13,2609,1,195,48,0
splacona_cz,900,59,K,17,684,9,209,48,3
splacona_cz,200,32,K,12,1865,6,34,9,0
splacona_cz,500,48,K,11,1700,1,94,48,3
splacona,200,22,K,99,960,0,5,3,0
splacona_cz,500,61,M,16,1398,0,398,48,13
splacona_cz,400,74,K,13,1140,1,242,48,0
splacona,500,44,K,11,1966,0,83,48,0
splacona_cz,1000,66,K,13,930,3,135,48,0
splacona_cz,300,71,K,13,1000,6,69,48,0
splacona_cz,500,54,M,11,1320,9,347,48,2
splacona,200,66,M,13,1217,0,55,48,0
splacona_cz,300,36,K,12,1300,1,7,3,0
splacona_cz,300,41,K,11,1100,0,62,48,0
splacona_cz,600,55,K,11,1300,0,73,48,6
splacona_cz,400,56,M,11,1460.17,6,66,48,2
splacona_cz,597.15,48,M,12,600,10,27,13,0
splacona_cz,453.23,32,M,11,2700,8,20,48,7
splacona_cz,265.58,63,K,13,1189,9,74,48,0
splacona_cz,500,44,K,11,1738.57,2,62,48,0
splacona,200,55,K,16,1045.6,10,17,48,0
splacona,200,62,K,13,997,9,84,48,0
splacona_cz,200,44,M,11,2284.23,4,304,48,2
splacona_cz,292.26,67,K,16,957,1,205,48,3
splacona_cz,600,73,K,13,640,3,143,48,0
splacona_cz,628.76,64,K,13,3251,3,143,48,0
splacona_cz,800,61,M,11,1200,0,134,48,0
splacona_cz,500,59,K,13,1883.53,0,52,48,0
splacona,561.8,66,K,16,892,3,205,48,1
odmowa,0,19,M,11,1800,0,4,48,0
splacona_cz,298.97,64,K,16,1389,4,96,48,1
splacona_cz,200,61,K,13,917,1,82,48,0
