@relation '228046_2-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R2-N2:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-N1:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-Rstatus pozyczki-Nstatus pozyczki:dobry-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nsplacona_cz:dobry,splacona:dobry1-weka.filters.unsupervised.attribute.RenameNominalValues-R1-Nodmowa:zly,windykacja:zly1,windykacja_sp:zly2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1-3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R5-precision6'

@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {M,K}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
13,3181,0,400,'\'(67.6-inf)\'',M,48,48,dobry
11,1750,0,600,'\'(30.4-42.8]\'',M,6,48,zly
13,1530,2,500,'\'(55.2-67.6]\'',M,32,48,dobry
12,980,2,200,'\'(30.4-42.8]\'',K,10,3,dobry
16,540.62,0,200,'\'(-inf-30.4]\'',M,62,48,zly
11,3217,0,300,'\'(42.8-55.2]\'',M,267,48,dobry
13,3040,2,700,'\'(55.2-67.6]\'',M,198,48,dobry
17,1100,0,200,'\'(55.2-67.6]\'',K,33,9,dobry
11,932.34,2,200,'\'(42.8-55.2]\'',K,392,48,dobry
11,1400,0,300,'\'(-inf-30.4]\'',M,21,48,dobry
13,1229.15,0,200,'\'(55.2-67.6]\'',K,84,48,zly
13,2000,2,450,'\'(67.6-inf)\'',M,42,48,dobry
11,1077,2,200,'\'(42.8-55.2]\'',K,180,48,dobry
13,865,2,300,'\'(67.6-inf)\'',K,125,48,dobry
11,983.97,0,200,'\'(55.2-67.6]\'',K,75,48,dobry
11,1344.9,1,300,'\'(42.8-55.2]\'',K,43,48,dobry
13,1107,0,400,'\'(55.2-67.6]\'',K,12,48,dobry
11,967.64,1,200,'\'(42.8-55.2]\'',K,316,48,dobry
11,2100,1,500,'\'(55.2-67.6]\'',M,184,48,dobry
13,722.05,1,200,'\'(67.6-inf)\'',K,194,48,dobry
98,911,2,300,'\'(42.8-55.2]\'',K,95,48,dobry
12,1300,1,300,'\'(-inf-30.4]\'',K,12,6,dobry
12,1500,1,300,'\'(-inf-30.4]\'',K,2,1,dobry
11,1400,2,300,'\'(42.8-55.2]\'',K,158,48,dobry
13,2547,0,600,'\'(67.6-inf)\'',M,192,48,dobry
16,1528,0,300,'\'(55.2-67.6]\'',M,372,48,dobry
11,992.84,2,300,'\'(42.8-55.2]\'',K,118,48,dobry
13,1400,2,600,'\'(55.2-67.6]\'',K,243,48,dobry
13,1294,0,250,'\'(67.6-inf)\'',K,120,48,dobry
99,1100,1,200,'\'(42.8-55.2]\'',K,49,48,dobry
13,2800,1,800,'\'(42.8-55.2]\'',M,147,48,dobry
13,1150,0,300,'\'(67.6-inf)\'',M,135,48,dobry
13,2040,1,300,'\'(55.2-67.6]\'',M,141,48,dobry
13,1125,0,400,'\'(55.2-67.6]\'',K,122,48,dobry
13,960,2,300,'\'(67.6-inf)\'',M,137,48,dobry
13,1374.08,0,300,'\'(55.2-67.6]\'',M,69,48,dobry
11,2837,0,662.69,'\'(-inf-30.4]\'',M,123,48,dobry
13,1175,0,400,'\'(55.2-67.6]\'',K,112,48,dobry
16,1072.89,2,300,'\'(42.8-55.2]\'',K,119,48,dobry
12,1042,1,300,'\'(42.8-55.2]\'',M,2,0,dobry
12,1382,1,200,'\'(30.4-42.8]\'',K,23,5,dobry
11,1037.34,2,200,'\'(30.4-42.8]\'',K,59,48,dobry
13,1239.98,0,200,'\'(67.6-inf)\'',K,252,48,dobry
98,2200,2,400,'\'(42.8-55.2]\'',K,22,48,dobry
13,1500,2,396.61,'\'(55.2-67.6]\'',M,20,48,dobry
11,2002,0,600,'\'(30.4-42.8]\'',M,61,48,zly
